Area,Type,Rent,Date,BHK,Sosciety
Karvenagar,semifurnished,12000,25/01/19,1RK,standalone
Shivajinagar,Furnished,25000,12/09/18,1BHK,Ahkar
karvenagar,Unfurnished,40000,25/01/19,3BHK,standalone
karvenagar,semifurnished,22000,12/09/18,2BHK,Ahkar
karvenagar,semifurnished,15000,25/01/19,2BHK,Dattaraj
karvenagar,Unfurnished,20000,12/09/18,1BHK,Canol
karvenagar,Unfurnished,5700,25/01/19,1BHK,standalone
karvenagar,Unfurnished,17000,12/09/18,2BHK,standalone
karvenagar,Unfurnished,10000,25/01/19,1BHK,stbbank
karvenagar,Unfurnished,15000,12/09/18,2BHK,Audambar
karvenagar,Unfurnished,8000,25/01/19,1RK,standalone
Sadashivpeth,Unfurnished,6000,12/09/18,2BHK,Ekdant
karvenagar,semifurnished,25000,25/01/19,2BHK,Ekdant
karvenagar,Unfurnished,30000,12/09/18,2BHK,Sanket
karvenagar,semifurnished,9500,25/01/19,1RK,Dattaraj
karvenagar,Unfurnished,12500,12/09/18,1BHK,Nandhanvan
Sadashivpeth,semifurnished,20000,12/09/18,2BHK,Naryan
Shivajinagar,semifurnished,37000,25/01/19,2BHK,Sudhir
karvenagar,Unfurnished,17000,12/09/18,2BHK,Venktesh
Shivajinagar,Furnished,40000,25/01/19,2BHK,Ns
Shivajinagar,Unfurnished,30000,12/09/18,2BHK,ns
Sadashivpeth,Unfurnished,15000,25/01/19,1BHK,Umannath
Sadashivpeth,Furnished,17000,12/09/18,1BHK,Umannath
Shivajinagar,Unfurnished,27000,25/01/19,3BHK,Pratibha
Sadashivpeth,semifurnished,32000,12/09/18,2BHK,Yashodha
Shivajinagar,Furnished,15000,25/01/19,1RK,Sanklap
Sadashivpeth,semifurnished,14500,25/01/19,1RK,Vinayak
Sadashivpeth,Furnished,18500,12/09/18,1BHK,RamBan Scociety
karvenagar,Unfurnished,6000,25/01/19,1RK,IndependentHouse
Kothrud,semifurnished,16500,12/09/18,2BHK,Kumbar
Katraj,Unfurnished,15000,12/09/18,2BHK,SwantVihar
Kothrud,semifurnished,5500,25/01/19,1RK,standalone
Kothrud,Unfurnished,12000,12/09/18,1BHK,Aman
Kothrud,semifurnished,5500,12/09/18,1rk,Jayganesh
Kothrud,Unfurnished,10500,25/01/19,1rk,Jayganesh
Kothrud,Unfurnished,15000,12/09/18,1BHK,Jayganesh
Katraj,Unfurnished,11500,25/01/19,2BHK,Sanklap
Katraj,Furnished,21500,12/09/18,2BHK,Manali
Katraj,semifurnished,16000,25/01/19,1BHK,Vasuda
Katraj,Unfurnished,12000,12/09/18,2BHK,Cretec
Katraj,Unfurnished,11500,12/09/18,2BHK,Sadguru
Katraj,Unfurnished,12000,25/01/19,2BHK,Cretec
Katraj,semifurnished,5000,12/09/18,1rk,standalone
Katraj,Unfurnished,12000,25/01/19,2BHK,IndependentHouse
Bavdhan,semifurnished,25000,12/09/18,2BHK,Ganga
Bavdhan,Unfurnished,19000,25/01/19,2BHK,StarGaze
Bavdhan,semifurnished,13000,12/09/18,1BHK,DSK
Bavdhan,semifurnished,25000,12/09/18,3BHK,ridhisidhi
Bavdhan,semifurnished,25000,12/09/18,3BHK,Riddhi Inclave
Bavdhan,Unfurnished,11000,25/01/19,2BHK,ganga
Bavdhan,Furnished,15500,12/09/18,2BHK,Anand
Bavdhan,Unfurnished,11500,12/09/18,1BHK,Agortar
Bibewadi,semifurnished,15000,25/01/19,2BHK,sukhsagar
Narhe,Unfurnished,16000,12/09/18,3BHK,Mittal
Dhayari,Unfurnished,10000,25/01/19,2BHK,Ganesh
